fecha,pais,regional,zona,aliado,responsable,sitio,impacto_clientes,sr_movil,sr_fijo,kpi_crt,kpi_icr,kpi_ruido,kpi_trf_fijo,kpi_dispon,kpi_q30,kpi_tr,kpi_1ag,kpi_efect_xp,is_fallback,staleness_days,sr_otc_50_50,kpi_efectividad_xp,score_otc,score_otc_pct,estado
2025-11-06,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1128.0,0.9022232775491349,0.8676285602746499,0.07322075908515159,0.889712084449876,0.9087633785330407,0.8849386700486319,0.936510195159389,0.8685282370201025,0.8817676357805142,0.9116008515040062,0.7526456884515808,False,0,0.8849259189118923,0.7526456884515808,0.9040460762865247,90.40460762865247,VERDE
2025-11-07,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,757.0,0.8255034508056319,0.6878483890707591,0.02312898543699427,0.8958999473117067,0.8513386192872517,0.9242118425472213,0.9410909723841945,0.8655937196676775,0.8860598673807648,0.8420727104510309,0.7100281141088801,False,0,0.7566759199381955,0.7100281141088801,0.9152768206350423,91.52768206350423,VERDE
2025-11-08,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1182.0,0.7962544518415805,0.768530595895758,0.046305621604492045,0.9033583890988667,0.86549527217262,0.8899224632430838,0.9436514211197323,0.8957854826756155,0.9228031999064403,0.904580474231979,0.7607703232133594,False,0,0.7823925238686693,0.7607703232133594,0.9115562807634394,91.15562807634394,VERDE
2025-11-09,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1850.0,0.7831770106215872,0.7303211318108607,0.029888857555720166,0.919790706428364,0.8827218697652168,0.8942141692176152,0.9261492486360867,0.840607074181447,0.8913307964362287,0.829277318201805,0.7053572276899923,False,0,0.7567490712162239,0.7053572276899923,0.915811125142727,91.5811125142727,VERDE
2025-11-10,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,576.0,0.8935352240990095,0.8353442321952056,0.05564131967508925,0.9103116724655513,0.858140567676236,0.86715429758161,0.9569165605660547,0.843389681025248,0.9045023033075099,0.8454445033482052,0.6678265832152123,False,0,0.8644397281471076,0.6678265832152123,0.9013849012082703,90.13849012082703,VERDE
2025-11-11,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1864.0,0.8350437606968502,0.7767587628523653,0.057840290450226706,0.8876992992259329,0.8661021259365308,0.9349023171595949,0.9511499797587802,0.9164661070070159,0.9217892704478322,0.8653113941648695,0.709723692188835,False,0,0.8059012617746077,0.709723692188835,0.9107856987456294,91.07856987456294,VERDE
2025-11-12,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1551.0,0.8254479655261256,0.7927043406805647,0.056219625976954415,0.8953195982102315,0.8891239152541364,0.9455264976021536,0.9412575847276348,0.8735874212495414,0.898043190223538,0.8890288517065555,0.7211724180308342,False,0,0.8090761531033452,0.7211724180308342,0.9160671492804288,91.60671492804288,VERDE
2025-11-13,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1551.0,0.8254479655261256,0.7927043406805647,0.056219625976954415,0.8953195982102315,0.8891239152541364,0.9455264976021536,0.9412575847276348,0.8735874212495414,0.898043190223538,0.8890288517065555,0.7211724180308342,True,0,0.8090761531033452,0.7211724180308342,0.9160671492804288,91.60671492804288,VERDE
2025-11-14,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1376.0,0.8968833337892036,0.8296246072787494,0.03479032542263304,0.9054203089255525,0.874553334750524,0.8108165280292179,0.9040390406942173,0.8072903320062207,0.8923005924709128,0.8427211652444346,0.7024067130601581,False,0,0.8632539705339766,0.7024067130601581,0.8949743177142467,89.49743177142467,AMARILLO
2025-11-15,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,983.0,0.8790412905084418,0.7647153076234218,0.06071581662966195,0.9317168305324417,0.865034279842392,0.9155540387667851,0.9407328853065527,0.8628884450489265,0.8959051823590316,0.8742706943698627,0.7240940318950692,False,0,0.8218782990659318,0.7240940318950692,0.9132191162814439,91.32191162814439,VERDE
2025-11-16,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,766.0,0.9170327548781122,0.855818414509047,0.05732063159342907,0.9182551972332567,0.8879430860603726,0.8796586200831875,0.9424562569113234,0.8415032237406366,0.8687715274743316,0.9121926649080433,0.717043078804404,False,0,0.8864255846935796,0.717043078804404,0.9093284939544743,90.93284939544743,VERDE
2025-11-17,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,553.0,0.7810488040848336,0.802792164101598,0.05455587649559136,0.9190229742418954,0.8603935863340662,0.8422122785797274,0.918717742735498,0.8636030025240959,0.9305189990343301,0.8508050288224338,0.7325881272765068,False,0,0.7919204840932158,0.7325881272765068,0.8991383648517548,89.91383648517548,AMARILLO
2025-11-18,COLOMBIA,R3,CALI,ALIADO_A,RESP_CAL_1,CAL_A_1_01,1220.0,0.819104217495274,0.7678073993826257,0.04386406702359706,0.9013423621721973,0.9042493684934504,0.8728524896259868,0.9574267485769674,0.8846971849231632,0.9599264505723752,0.8856131831850995,0.6733284964086116,False,0,0.7934558084389498,0.6733284964086116,0.9145063387802039,91.4506338780204,VERDE
